,$_per_backer
4,223.21428571428572
5,62.5
10,125.0
16,35.714285714285715
18,32.05128205128205
21,2.6515151515151514
22,68.02721088435374
24,31.098073555166376
25,3.7037037037037037
27,1.8214936247723132
28,111.11111111111111
30,130.43478260869566
32,25.477707006369428
33,46.948356807511736
35,54.151624548736464
36,64.65517241379311
37,55.248618784530386
39,46.78362573099415
40,51.94805194805195
41,13.761467889908257
43,94.9367088607595
45,56.33802816901409
46,215.68627450980392
49,78.51239669421487
51,55.80357142857143
55,5.387931034482759
58,104.16666666666667
63,42.10526315789474
68,45.73170731707317
73,137.93103448275863
74,16.129032258064516
75,13.88888888888889
76,26.143790849673202
82,50.0
84,88.49557522123894
85,51.724137931034484
86,57.69230769230769
87,44.44444444444444
90,62.5
91,14.285714285714286
92,333.3333333333333
95,15.860428231562253
97,41.221374045801525
98,70.0
99,24.390243902439025
100,39.71486761710794
109,3.2051282051282053
112,5.555555555555555
116,40.0
117,106.38297872340425
120,28.571428571428573
124,12.264150943396226
126,50.0
127,78.94736842105263
129,2500.0
136,111.94029850746269
137,445.63279857397504
141,12.820512820512821
144,48.0
153,21.583333333333332
154,87.20930232558139
156,21.141649048625794
157,52.63157894736842
159,61.72839506172839
163,108.10810810810811
165,39.285714285714285
166,15.290519877675841
167,12.987012987012987
169,119.8170731707317
170,42.10526315789474
171,6.875
173,217.3913043478261
174,7857.142857142857
176,23.364485981308412
177,291.6666666666667
179,inf
180,21.428571428571427
184,94.68085106382979
185,38.095238095238095
186,176.47058823529412
187,102.6875
190,78.26086956521739
191,28.846153846153847
193,37.5
196,31.914893617021278
199,13.392857142857142
200,19.047619047619047
201,57.69230769230769
202,155.27950310559007
205,57.142857142857146
206,10.0
212,55.55555555555556
214,53.09278350515464
215,87.71929824561404
216,52.21932114882507
217,11.11111111111111
219,62.5
228,25.0
229,29.891304347826086
232,31.914893617021278
233,51.282051282051285
235,153.84615384615384
236,285.7142857142857
242,54.54545454545455
245,6.578947368421052
246,81.3953488372093
248,47.61904761904762
251,10.974539069359087
252,56.49717514124294
253,33.333333333333336
255,70.96774193548387
256,23.91304347826087
259,6.410256410256411
260,59.523809523809526
263,21.764705882352942
265,42.05607476635514
268,53.84615384615385
273,6.654835847382431
274,37.18867924528302
276,116.47058823529412
